SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
5413	5285	5	Nordisk urban planlægning, cand.soc.						
5414	6126	5	Globale studier, kombination (RUC)						
5415	6144	5	International udvikling, kombination (RUC)						
5416	6158	5	Global udvikling, cand.soc.						
5417	6456	5	Globale studier, cand.soc.						
5418	6940	5	Internationale udviklingsstudier, cand.mag.						
5419	7079	5	International ret, økonomi og ledelse, cand.soc.						
5420	7107	5	International sikkerhed og folkeret, c.soc.						
5421	7224	5	Globale studier (komb. HUM), cand.soc.						
5422	7225	5	Globale studier (komb. SAM), cand.soc.						
5423	7226	5	Globale studier (komb. NAT), cand.soc.						
5424	7227	5	Globale studier (komb. HUM-TEK), cand.soc.						
5425	7236	5	Internationale udviklingsstudier (komb. HUM), cand.soc.						
5426	7237	5	Internationale udviklingsstudier (komb. SAM), cand.soc.						
5427	7238	5	Internationale udviklingsstudier (komb. NAT), cand.soc.						
5428	7239	5	Internationale udviklingsstudier (komb. HUM-TEK), cand.soc.						
5429	7321	5	Human security, c.soc.						
5430	8918	5	Samfundsmæssige konflikter og intervention, master						
5431	8942	5	Globalisering og integration, master						
5432	70392515	4	EU-studier og europæiske studier, LVU						
5433	3021	5	Int.forhold. europæiske studier, cand.soc						
5434	6137	5	EU studier, kombination (RUC)						
5435	6925	5	EU studier (RUC), kand.						
5436	7207	5	EU-studier, cand.soc.						
5437	7216	5	EU-studier (komb. HUM), cand.soc.						
5438	7217	5	EU-studier (komb. SAM), cand.soc.						
5439	7218	5	EU-studier (komb. NAT), cand.soc.						
5440	7219	5	EU-studier (komb. HUM-TEK), cand.soc.						
5441	703930	3	Jura, LVU						
5442	70393010	4	Jura, LVU						
5443	7085	5	Jura, cand.jur.						
5444	7086	5	Jura, cand.soc.						
5445	703935	3	Politologi, LVU						
5446	70393510	4	Statskundskab, LVU						
5447	6133	5	Politik og administration, kombination (RUC)						
5448	7101	5	Statskundskab, cand.scient.pol.						
5449	7102	5	Statskundskab, cand.scient.pol.						
5450	7110	5	Politik og administration (komb. HUM-TEK), cand.soc.						
5451	7112	5	Politik og administration (komb. NAT), cand.soc.						
5452	7115	5	Politik og administration (komb. HUM), cand.soc.						
5453	7117	5	Politik og administration (komb. SAM), cand.soc.						
5454	70393515	4	Politologiske uddannelser i øvrigt, LVU						
5455	5757	5	Public policy (MPP), master						
5456	6100	5	Politik og international forvaltning, cand.scient.adm.						
5457	6112	5	Miljø og ressource management, cand.techn.soc.						
