UDD,TEXT,UDD_UDDANNELSESNIVEAU,UDD_FAGOMRAADE_UNDER,UDD_UDDANNELSESTYPE_UNDER,UDD_ISCED_P,UDD_ISCED_F,OMR,MINI,PRIO,TP,L,UDD_HOVEDOMRAADE_DETALJERET,NRMA,AKTIV,AUDD,ATEXT,AUDD_UDDANNELSESNIVEAU,AUDD_FAGOMRAADE_UNDER,AUDD_UDDANNELSESTYPE_UNDER,AUDD_ISCED_P,AUDD_ISCED_F,PRIA,KOMP,AUDD_HOVEDOMRAADE_DETALJERET,UNDERVISNINGSSPROG
3945,"Maler, videreuddannelse",50,582010,8590,551,0732,40,10,176,1,1,40581515,12,1,3945,"Maler, videreuddannelse",50,582010,8590,551,0732,188,3,40581515,Dansk
3950,Videregående tekniker,50,551510,8530,554,0710,40,10,156,1,1,40581010,24,1,3950,Videregående tekniker,50,551510,8530,554,0710,180,5,40581010,Dansk
3955,Tf-kursus,20,551010,8590,241,0700,40,1,132,1,1,15203010,6,1,3955,Tf-kursus una,20,551010,8590,241,0700,138,5,15203010,Dansk
3960,"Sektoroverskridende, åben uddannelse",30,401010,8590,351,0410,40,1,0,1,1,30154510,0,1,3960,"Sektoroverskridende, åben uddannelse",30,401010,8590,351,0410,0,5,30154510,Dansk
3961,Indledende kurser til VVU,30,401010,8590,341,0410,40,1,0,1,1,30154510,0,1,3961,Indledende kurser til VVU,30,401010,8590,341,0410,0,5,30154510,Dansk
3965,Blomsterbinder,30,303520,3090,353,0214,40,1,120,1,1,30154510,4,1,3965,Blomsterbinder,30,303520,3090,353,0214,124,3,30154510,Dansk
3970,Akademiuddannelse i service og oplevelser,50,703015,8530,554,1015,40,10,156,1,1,40383010,12,1,3970,Akademiuddannelse i service og oplevelser,50,703015,8530,554,1015,180,3,40383010,Dansk
3970,Akademiuddannelse i service og oplevelser,50,703015,8530,554,1015,40,10,156,1,1,40383010,12,1,3971,Merkonom i service og oplevelser,50,703015,8530,551,1015,180,3,40383010,Dansk
3972,Akademiuddannelse i Kvalitet og måleteknologi,50,555055,8530,554,0722,5,10,156,1,1,40585020,12,1,3972,Akademiuddannelse i Kvalitet og måleteknologi,50,555055,8530,554,0722,168,3,40585020,Dansk
4000,Markedsøkonom,50,403010,4010,554,0414,4,10,156,1,1,40382510,22,0,4000,Markedsøkonom,50,403010,4010,554,0414,180,3,40382510,Dansk
4000,Markedsøkonom,50,403010,4010,554,0414,4,10,156,1,1,40382510,22,0,4000,Markedsøkonom,50,403010,4010,554,0414,180,3,40382510,Dansk
4000,Markedsøkonom,50,403010,4010,554,0414,4,10,156,1,1,40382510,22,1,4007,Markedsøkonom una,50,403010,4010,554,0414,178,3,40382510,Dansk
