SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
4986;"80201010";4;Pædagogiske uddannelser uden nærmere angivelse, Ph.d.;;;;;;
4987;"0721";5;Pædagogisk, ivu (ph.d.);;;;;;
4988;"802030";3;Pædagogik, Ph.d.;;;;;;
4989;"80203020";4;Pædagogik, Ph.d.;;;;;;
4990;"5745";5;Pædagogik, ph.d. (DPU);;;;;;
4991;"8025";2;Humanistisk og teologisk, Ph.d.;;;;;;
4992;"802510";3;Humanistisk uden nærmere angivelse, Ph.d.;;;;;;
4993;"80251010";4;Humanistisk uden nærmere angivelse, Ph.d.;;;;;;
4994;"0722";5;Humanistisk/teologisk, ivu (ph.d.);;;;;;
4995;"802520";3;Filosofi, Ph.d.;;;;;;
4996;"80252010";4;Filosofi, Ph.d.;;;;;;
4997;"7190";5;Humaniora, ph.d.;;;;;;
4998;"9571";5;Dr.phil.;;;;;;
4999;"802530";3;Kommunikation og formidling, Ph.d.;;;;;;
5000;"80253010";4;Kommunikation og formidling, Ph.d.;;;;;;
5001;"7200";5;Kommunikation, ph.d.;;;;;;
5002;"802535";3;Informationsvidenskab mv., Ph.d.;;;;;;
5003;"80253510";4;Informationsvidenskab mv., Ph.d.;;;;;;
5004;"5464";5;Forskningsbibliotekar;;;;;;
5005;"802588";3;Erhvervssprog, ling.merc., Ph.d.;;;;;;
5006;"80258810";4;Erhvervssprog, ling.merc., Ph.d.;;;;;;
5007;"5580";5;Lic.ling.merc.3år;;;;;;
5008;"9556";5;Dr.ling.merc.;;;;;;
5009;"802597";3;Teologi, Ph.d.;;;;;;
5010;"80259710";4;Teologi, Ph.d.;;;;;;
5011;"7235";5;Teologi, ph.d.;;;;;;
5012;"8030";2;Kunstnerisk, Ph.d.;;;;;;
5013;"803010";3;Kunstnerisk uden nærmere angivelse, Ph.d.;;;;;;
5014;"80301010";4;Kunstnerisk uden nærmere angivelse, Ph.d.;;;;;;
5015;"0723";5;Kunstnerisk, ivu (ph.d.);;;;;;
5016;"803015";3;Arkitektur, Ph.d.;;;;;;
5017;"80301510";4;Arkitektur, Ph.d.;;;;;;
5018;"5480";5;Arkitekt, ph.d.;;;;;;
5019;"803060";3;Konservator, Ph.d.;;;;;;
5020;"80306010";4;Konservering - restaurering uden nærmere angivelse, Ph.d.;;;;;;
5021;"5839";5;Konservator, ph.d.;;;;;;
5022;"803065";3;Musik, Ph.d.;;;;;;
5023;"80306530";4;Komponist og dirigent, Ph.d.;;;;;;
5024;"5615";5;Komponistklasse;;;;;;
5025;"5617";5;Dirigentklasse (musik);;;;;;
5026;"7864";5;Solist musisk, komposition;;;;;;
5027;"9171";5;Solist-komponist-dirigent;;;;;;
5028;"80306540";4;Musik og musikpædagogik, Ph.d.;;;;;;
5029;"5611";5;Solist musisk, instrumental/vokal;;;;;;
5030;"5919";5;Rytmisk musik, solistklasse;;;;;;
5031;"7960";5;Klassisk musik, solist;;;;;;
5032;"7965";5;Rytmisk musik, solist;;;;;;
5033;"7970";5;Elektronisk musik, solist;;;;;;
5034;"80306555";4;Musikuddannelser i øvrigt, Ph.d.;;;;;;
5035;"5620";5;Operaakademi;;;;;;
5036;"8035";2;Naturvidenskab, Ph.d.;;;;;;
5037;"803510";3;Naturvidenskab uden nærmere angivelse, Ph.d.;;;;;;
5038;"80351010";4;Naturvidenskab uden nærmere angivelse, Ph.d.;;;;;;
5039;"0724";5;Naturvidenskab, ivu (ph.d.);;;;;;
5040;"8000";5;Naturvidenskab, ph.d.;;;;;;
5041;"9266";5;Dr.scient.;;;;;;
5042;"803550";3;Matematik, Ph.d.;;;;;;
5043;"80355015";4;Matematik og økonomi, Ph.d.;;;;;;
5044;"8301";5;Matematik og økonomi, ph.d.;;;;;;
