SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
80;"1431";4;Ledelse af hovedaktiviteten inden for sport, forlystelse og kultur;;;;;;
81;"143100";5;Ledelse af hovedaktiviteten inden for sport, forlystelse og kultur;;;;;;
82;"1439";4;Ledelse af hovedaktiviteten inden for andre serviceområder;;;;;;
83;"143900";5;Ledelse af hovedaktiviteten inden for andre serviceområder;;;;;;
84;"2";1;Arbejde, der forudsætter viden på højeste niveau inden for pågældende område;;;;;;
85;"21";2;Arbejde inden for naturvidenskab og ingeniørvirksomhed;;;;;;
86;"211";3;Arbejde inden for fysik og geologi;;;;;;
87;"2111";4;Arbejde inden for fysik og astronomi;;;;;;
88;"211100";5;Arbejde inden for fysik og astronomi;;;;;;
89;"2112";4;Arbejde inden for meteorologi;;;;;;
90;"211200";5;Arbejde inden for meteorologi;;;;;;
91;"2113";4;Arbejde inden for kemi;;;;;;
92;"211300";5;Arbejde inden for kemi;;;;;;
93;"2114";4;Arbejde inden for geologi og geofysik;;;;;;
94;"211400";5;Arbejde inden for geologi og geofysik;;;;;;
95;"212";3;Arbejde med matematiske, aktuariske og statistiske metoder og teorier;;;;;;
96;"2120";4;Arbejde med matematiske, aktuariske og statistiske metoder og teorier;;;;;;
97;"212000";5;Arbejde med matematiske, aktuariske og statistiske metoder og teorier;;;;;;
98;"213";3;Arbejde inden for biovidenskab;;;;;;
99;"2131";4;Arbejde inden for biokemi, biologi, botanik, zoologi og beslægtede områder;;;;;;
100;"213110";5;Arbejde inden for biokemi;;;;;;
101;"213120";5;Arbejde inden for biologi, botanik, zoologi og beslægtede områder;;;;;;
102;"2132";4;Rådgivning inden for landbrug, skovbrug og fiskeri;;;;;;
103;"213200";5;Rådgivning inden for landbrug, skovbrug og fiskeri;;;;;;
104;"2133";4;Arbejde inden for miljøbeskyttelse;;;;;;
105;"213300";5;Arbejde inden for miljøbeskyttelse;;;;;;
106;"214";3;Ingeniørarbejde (undtagen inden for elektroteknologi);;;;;;
107;"2141";4;Ingeniørarbejde i industri og produktion;;;;;;
108;"214100";5;Ingeniørarbejde i industri og produktion;;;;;;
109;"2142";4;Ingeniørarbejde vedrørende bygninger og anlæg;;;;;;
110;"214200";5;Ingeniørarbejde vedrørende bygninger og anlæg;;;;;;
111;"2143";4;Ingeniørarbejde inden for miljø;;;;;;
112;"214300";5;Ingeniørarbejde inden for miljø;;;;;;
113;"2144";4;Ingeniørarbejde inden for mekaniske systemer;;;;;;
114;"214400";5;Ingeniørarbejde inden for mekaniske systemer;;;;;;
115;"2145";4;Ingeniørarbejde inden for kemi;;;;;;
116;"214500";5;Ingeniørarbejde inden for kemi;;;;;;
117;"2146";4;Ingeniørarbejde inden for minedrift, metallurgi og beslægtede områder;;;;;;
118;"214600";5;Ingeniørarbejde inden for minedrift, metallurgi og beslægtede områder;;;;;;
119;"2149";4;Andet ingeniørarbejde (undtagen elektroteknologi);;;;;;
120;"214900";5;Andet ingeniørarbejde (undtagen elektroteknologi);;;;;;
121;"215";3;Ingeniørarbejde inden for elektroteknologi;;;;;;
